bill_id,bill_name
010374,정부보유미방출에관한긴급건의안
010375,비료가격및식량배급에관한건의안
010376,양곡도정에관한건의안
010377,국정감사결과대책에관한건의안
010378,교육행정에관한건의안
010379,소개지처리에관한건의안
010380,금융정책에관한건의안
010381,양곡증산에관한건의안
010382,국회임시준칙에관한결의안
010383,국제연합조선위원단에국회성립을통고하는결의안
010384,「북한동포에게고함」결의안
010385,미국대통령「트르만」씨에게보내는감사결의안
010386,특별법기초위원회설치에관한결의안
010387,남북통일대책특별위원회설치에관한결의안
010388,지방행정조직법등법률안에관한결의안
010389,미주둔군사령관「하지」중장에대한감사결의안
010390,시내각처에철포된불온문서의출처조사와처단요청에관한결의안
010391,국회회기에관한결의안
010392,애국지사서재필박사를대한민국국민으로서권청하는결의안
010393,대통령특사우방각국방문지지에관한결의안
010394,대한민국대표유엔파견에대한찬동지지에관한결의안
010395,연호에관한결의안
010396,헌법제63조해석에관한결의안
010397,유엔총회에보내는대한민국정부승인요청에관한결의안
010398,외군철퇴요청에관한결의안
010399,징계자격위원회개편에관한결의안
010400,반란사건수습에고투하는국군과경찰에격려문발송과위문금송달에관한결의안
010401,시국수습대책위원회조직에관한결의안
010402,의사진행에관한결의안
010403,시국수습대책에관한결의안
010404,유엔총회에보내는결의안
010405,미군주둔에관한결의안
010406,국회후생위원회설치에관한결의안
010407,유엔총회에보내는대한민국승인요청에관한결의안
010408,반란지구선무공작위원파견의건
010409,유엔총회급한국대표에게보내는감사결의안
010410,유엔총회급한국대표에게보내는감사결의안
010411,고급요정등폐지법제정에관한건
010412,독립운동자포상법제정의건
010413,의원징계에관한결의안
010414,적산관리법제정에관한건
010415,탐관오리모리배처벌법제정의건
010416,혁명애국지사급견가족원호우우법결정에관한위원회설치의건
010417,군경에대한감사결의안
010418,대한관찰부에관한결의안
010419,아세아회의에보내는「멧세지」
010420,유엔한국위원단에보내는「멧세지」
010421,남북평화통일에관한결의안
010422,국회의원일본파견에관한결의안
010423,회기연기에관한결의안
010424,회기연기에관한결의안
010425,교육자에대한감사결의안
010426,상임위원회결석위원징계에관한결의안
010427,국회의원석방요구에관한결의안
010428,비료배급기구에관한결의안
010429,반민족행위처벌법집행기관공무원자격심사에관한결의안
010430,기부금징수방지에관한결의안
010431,옹진지대치안확보에관한결의안
010432,전각료인책퇴진에관한결의안
010433,10용사에대한감사문및위문금봉정에관한결의안
010434,반민족행위처벌법집행기관에대한경찰의행동에관한결의안
010435,언론정책에관한결의안
010436,「맥아더」선확장반대에관한결의안
010437,회기연기에관한건
010438,의사에관한결의안
010439,유엔총회에보내는멧세이지
010440,미국대통령·장개석총통및비국대통령에게보내는「멧세이지」에관한결의안
010441,회기연기에관한결의안
010442,미국국회에대한경제원조안통과요청에관한결의안
010443,한해대책에관한결의안
010444,김명동의원석방요구에관한결의안
010445,비행기헌납에관한결의안
010446,소란지구의민중부락소개대책에관한결의안
010447,회기연기에관한결의안
010448,미국대통령급상하원의장에게감사문발송에관한결의안
010449,오의원석방요구에관한결의안
010450,징계자격위원회위원정수에관한결의안
010451,해군부독립에관한결의안
010452,한자사용에관한결의안
010453,회기연기에관한결의안
010454,예산안심사에관한결의안
010455,회기연기에관한결의안
010456,국정감사에관한계획의건
010457,정부위원승낙취소에관한결의안
010458,시내소개지처리에관한결의안
