bill_id,proposed_date,bill_name
1906833,2013-09-13,온실가스 배출권의 할당 및 거래에 관한 법률 일부개정법률안
1906835,2013-09-13,검찰청법 일부개정법률안
1906411,2013-08-19,국회법 일부개정법률안
1906394,2013-08-16,정치자금법 일부개정법률안
1906409,2013-08-16,국가재정법 일부개정법률안
1906413,2013-08-19,산업디자인진흥법 일부개정법률안
1906412,2013-08-19,초·중등교육법 일부개정법률안
1906423,2013-08-19,부동산 가격공시 및 감정평가에 관한 법률 일부개정법률안
1906836,2013-09-13,식품위생법 일부개정법률안
1918491,2016-01-25,특허법 일부개정법률안
1906407,2013-08-16,아동의 빈곤예방 및 지원 등에 관한 법률 일부개정법률안
1906404,2013-08-16,형법 일부개정법률안
1906397,2013-08-16,한국장학재단 설립 등에 관한 법률 일부개정법률안
1906392,2013-08-16,지방세법 일부개정법률안
1910535,2014-05-09,공직선거법 일부개정법률안
1910536,2014-05-09,국회법 일부개정법률안
1906837,2013-09-13,주택임대차보호법 일부개정법률안
1918368,2015-12-31,중소기업창업 지원법 일부개정법률안(대안)
1918369,2015-12-31,산업안전보건법 일부개정법률안(대안)
1918370,2015-12-31,근로자직업능력 개발법 일부개정법률안(대안)
1906838,2013-09-13,유통산업발전법 일부개정법률안
1906839,2013-09-13,공직선거법 일부개정법률안
1906840,2013-09-13,지방교부세법 일부개정법률안
1900948,2012-07-30,농어업재해대책법 일부개정법률안
1906424,2013-08-19,도시 및 주거환경정비법 일부개정법률안
1906414,2013-08-19,국회에서의 증언·감정 등에 관한 법률 일부개정법률안
1906420,2013-08-19,주택법 일부개정법률안
1918371,2015-12-31,디자인보호법 일부개정법률안(대안)
1902333,2012-10-30,농어업재해대책법 일부개정법률안
1906416,2013-08-19,주택임대차보호법 일부개정법률안
1906418,2013-08-19,공인중개사의 업무 및 부동산 거래신고에 관한 법률 일부개정법률안
1918372,2015-12-31,여성기업지원에 관한 법률 일부개정법률안(대안)
1918373,2015-12-31,진폐의 예방과 진폐근로자의 보호 등에 관한 법률 일부개정법률안(대안)
1918374,2015-12-31,자전거 이용 활성화에 관한 법률 일부개정법률안(대안)
1918376,2015-12-31,엔지니어링산업 진흥법 일부개정법률안(대안)
1918377,2015-12-31,경제자유구역의 지정 및 운영에 관한 특별법 일부개정법률안(대안)
1906841,2013-09-16,국방개혁에 관한 법률 일부개정법률안
1906842,2013-09-16,공공기관의 운영에 관한 법률 일부개정법률안
1906843,2013-09-16,한국보훈복지의료공단법 일부개정법률안
1906844,2013-09-16,자유무역협정(FTA)대책 특별위원회 구성결의안
1906845,2013-09-16,축산물위생관리법 일부개정법률안
1906417,2013-08-19,공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 일부개정법률안
1906848,2013-09-16,고등교육법 일부개정법률안
1906849,2013-09-16,주택임대차보호법 일부개정법률안
1906850,2013-09-16,보금자리주택건설 등에 관한 특별법 일부개정법률안
1906853,2013-09-16,주택임대차보호법 일부개정법률안
1918378,2015-12-31,중소기업제품 구매촉진 및 판로지원에 관한 법률 일부개정법률안(대안)
1906855,2013-09-16,공유수면 관리 및 매립에 관한 법률 일부개정법률안
1906716,2013-09-05,“부마민주항쟁 기념일” 제정 촉구 결의안
1906858,2013-09-16,유료도로법 일부개정법률안
1918379,2015-12-31,자유무역지역의 지정 및 운영에 관한 법률 일부개정법률안(대안)
1906862,2013-09-16,산업안전보건법 일부개정법률안
1918380,2015-12-31,산업집적활성화 및 공장설립에 관한 법률 일부개정법률안(대안)
1906890,2013-09-17,사료의 수집·편찬 및 한국사의 보급 등에 관한 법률 일부개정법률안
1906864,2013-09-16,보건의료기본법 일부개정법률안
1918382,2015-12-31,전원개발촉진법 일부개정법률안(대안)
DD01448,2015-11-23,대·중소기업 상생협력 촉진에 관한 법률 일부개정법률안(대안)
1906866,2013-09-16,학교보건법 일부개정법률안
1901160,2012-08-14,도시공원 및 녹지 등에 관한 법률 일부개정법률안
DD01451,2015-11-23,중소기업협동조합법 일부개정법률안(대안)
1906868,2013-09-16,군인사법 일부개정법률안
1906869,2013-09-16,유료도로법 일부개정법률안
DD01477,2015-11-25,수질 및 수생태계 보전에 관한 법률 일부개정법률안(대안)
1912389,2014-11-10,국가기술자격법 일부개정법률안
1900829,2012-07-23,근로자의날제정에관한법률 전부개정법률안
1906873,2013-09-16,아동복지법 일부개정법률안
